business_name,business_type,business_email,business_phone,city_id,beach_id,status,image_url,gallery,description,address,website,opening_hours,latitude,longitude,payment_settings,club_settings,subscription_status,subscription_plan_id,subscription_start_date,subscription_end_date,subscription_payment_method,subscription_payment_id,subscription_notes,id,created_date,updated_date,created_by,is_sample
"Restaurante Maré Alta","restaurante","contato.jrsn@gmail.com","null","67cdc32459c2f17692605cc2","$Beach[0].id","pending","https://images.unsplash.com/photo-1514933651103-005eec06c04b?q=80&w=1000&auto=format&fit=crop","[]","Especializado em frutos do mar frescos, o Restaurante Maré Alta oferece uma experiência gastronômica com vista para o mar de Jurerê Internacional. O cardápio inclui pratos tradicionais da culinária catarinense.","Av. Brazil, 10214","","null","null","null","null","null","active","null","2025-05-05","2025-08-05","manual","null","Ativado manualmente pelo administrador","67cf30422efcee033024d3d8","2025-03-10T18:32:34.788000","2025-05-05T02:56:16.314000","contato.jrsn@gmail.com","false"
"Pousada Brisa do Mar","pousada","contato.jrsn@gmail.com","null","67dc3da3e0e03c926b15e6e1","","pending","https://images.unsplash.com/photo-1566073771259-6a8506099945?q=80&w=1000&auto=format&fit=crop","[]","Pousada charmosa localizada a poucos metros da Praia de Bombas. Oferece quartos confortáveis com café da manhã incluso. Ambiente familiar e aconchegante.","Rua das Flores, 567","","null","null","null","null","null","active","null","2025-05-05","2025-08-05","manual","null","Ativado manualmente pelo administrador","67cf30422efcee033024d3d9","2025-03-10T18:32:34.788000","2025-05-05T02:56:27.524000","contato.jrsn@gmail.com","false"
"Artesanato Mares do Sul","loja utilidades","contato.jrsn@gmail.com","null","67dc3da3e0e03c926b15e6e1","","pending","https://images.unsplash.com/photo-1472851294608-062f824d29cc?q=80&w=1000&auto=format&fit=crop","[]","Loja especializada em artesanato local, com produtos feitos por artesãos de Santa Catarina. Oferece souvenirs, decoração praiana e peças exclusivas.","Av. Atlântica, 789, Centro","","null","null","null","null","null","active","null","2025-05-06","2025-08-06","manual","null","Ativado manualmente pelo administrador","67cf30422efcee033024d3da","2025-03-10T18:32:34.788000","2025-05-06T00:45:07.833000","contato.jrsn@gmail.com","false"
"in SE7E Técnologia","tecnologia","contato.jrsn@gmail.com","null","67db2cffee2528e16d1600ae","67cf30412efcee033024d3d2","pending","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/5f1211_LOGO2024N7-1.png","[""""https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/7a1c4e_E-COMMERCE2.png"""",""""https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/573669_E-COMMERCE.png"""",""""https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/dfbfa6_LOJACATLOGO.png"""",""""https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/bad3d8_SISTEMAAGENDAMENTO.png"""",""""https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/f1d95a_SITEINSTITUCIONAL.png""""]","Desenvolvimento de Sistemas CRM/ERP- Sistemas delivery, Sites, aplicativos","Av. Ubatuba","https://in-se7e.com.br","null","null","null","null","null","active","null","2025-05-05","2025-08-05","manual","null","Ativado manualmente pelo administrador","67e19d23cab81a52340d86bc","2025-03-24T17:57:55.048000","2025-05-05T02:56:38.578000","contato.jrsn@gmail.com","false"
"undefined","undefined","undefined","undefined","67db2cffee2528e16d1600ae","67cf30412efcee033024d3d2","undefined","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxMTEhUTExMWFhUXFxgYFxcXGBgYFxYVFhgYGBoXFxYYHSggGBolHRcVITEhJSkrLi4uFx8zODMtNygtLisBCgoKDg0OGxAQGislHR0uLS0tLSstLS0tLS0tLS0tLS0tLS0tKy0tLS0tLS0tLS0tLS0rLS0tLS0tLSstLSstLf/AABEIAKgBKwMBIgACEQEDEQH/xAAcAAABBQEBAQAAAAAAAAAAAAADAAECBAUGBwj/xABDEAABAwIDBAcECAUCBgMAAAABAAIRAyEEEjEFQVFhBhMicYGRoTKxwfAHFCNCUmLR4XKCkqLxM7IVJFNkc8IlQ9L/xAAaAQADAQEBAQAAAAAAAAAAAAAAAQIDBAUG/8QAKREAAgICAgIBAwQDAQAAAAAAAAECEQMSITEEQRMiUWEFFDJxQoGhI//aAAwDAQACEQMRAD8A40bRcfaDXc4g+bY9QUjVpn8Tf7h5iD6LKbi+IRRXad64XjPp45l9zSw76jCHUngls5cpkidYY69+5Sbteo0dW9vYyOYWRlPbmXXEgyZ8FnIrcQ4CJkcD2h5OkJUW2pdmhXxVKo5zg4tL6XVw8QAQGx25Ig5SPFSfhWkVe01znjsS5pd9nTDzlLbOOaGyNYPNZjnNOrI5tJHoZHkAkyiJllSDuzAtPgWyPOECpeiW0aDG5SxrgDOs7gJBm7XgkyNIykarPw2LqQdC2TDTeYnRpBHKbX8VoYnrXAZu01t5aGkTABLnM1MAXJmyzMM/KHzaWlswT2S7PIy/eBnXjuWsEn2YeQ5LWv8AZapVGvZnDYuBqYvm3G49nimITYB00nHSXgxwnrFIhRJUy8bcoJv2AqUGu1A+fcqVbZg+6Y5H5/VaZTKozaMcvjY59owK2Gc3UeV0FdIQqtfBNdujmFtHN9zgyeC1zFmIUxV6ts8jS/vVR7CNRC1UkzinjlD+SIJwmKSogmolIJ0ARU6NIuMN17wPU2UISSAnVYWmDEjgZ9RYpgolOEAIq7V2a5tPrC5kENOUHtdrlETe91UaFPIpKQMNT5QncEwanYUMQFFFDEsiLAGnARgxPlRYUByp8tkVzEIGEWOiKdJ1k0piHhJMkgDVIcmL1bfRdwQiFz7HsPG0DFVEbiiN6gWDgoGlwRSZNyiW243iEZuKad8d6zC0qJngp0RazzRtMfvab8Qboprk+0A7+IX/AKh2vVc/nRWYtw3+d0njNV5S9o2S8ZYDYkgm8iwIsDfed5Q1QZjzvE9yO3GsOsjvUOLNVmg/YYhMk14OhBUoSL4ZGExClCRCZLQIhQfSB1CMQmhNMzlFPszq2zgdLKjUwjhunuW8QoOYtY5GjkyeJCXXBzyeVs1cM12oVKrs8/dPmtFkTOKfiTj1yRds9w1LR5/AJvqY/F5N/UhdCaQWbiaQBMeI4Jb2OGGPsoNwo3z6D9UVmHp/hJ73foArWHrhoMtBuI5QrDMcbwz3210HipcmbrDjXoqMot3Ux/eef4uR8kcUXfgaP5G8J+8ORRH7QcZkNgzIg7xB38CfMqP1t/EcdBrx71Ns2jij9gQe65G7gAPcOYTYztU2km/E3P3rSmA1vrr87k+NH2Q8fiqTMs0WoMz7cQkANyFKJR0Ph8VqeeSCdOAkEhiCFWp70V2hSJRYFbUc1FTe2CokKkSMnTJ0wOuLVEtSCeVwH1NAXUhwQ3YYK1KjCdslwi+0U34XgUJ2GctAhRKpSZDwxZlvpEahDLAteFB7QnuYy8ZemZORMWlaTsO07kN2EHEqlNGUvHkuihdEZinDf53Vg4U8kN1A8E7TM3CcQlPHneB4WVhmNadbd6zzRT/VzxS1Q1mmuzVaQdCCmLVmDDv3DyRm1Xt1nxHxUuBovI+6LoCcsQGYriPJWKFQFKmXvFgS1RIWoMCXaCVWxWGLZkIoG00JrlmUsPmJLp7RMdqI1N7dyvPqBokmEKk43qS0t93kr5RxJJsNszZgFUB14bIneSmpU+25rm5iHuk8BHZgcFWZj3dYHX5DlyVvr/t2u0nWAdbGSPBLkdJMrbRpBr45XVcBaDmOquLyC4SRIiwAzeFgU/8Aw50gZCCTlEke1lze753JWdcVwUQnxw+yb/Efitdmynfgbxu732Mc/BZe02xTZ/G8eUJxfJl5K/8ANmWB3eSkCkCnC3PKEAmhGoskxySdThIdEGhMUQNUXNQMlUwxLJymImYsqAG5b5qU3YciSHtgEFxgidQFh1xDjx9ycWQ2BTp4TKxHoeyeh20MSa4otpPNCq6k+X5Jc0n2cwEi2+FXPR3aGepTGDe51JwbUDC12VxaHgWN+yQbcV6/9FI7W0j/AN9V95/VaOwLYjaNTUjFgRy+r4efh/SsHBHb+6yxbSfR4DXw1dn+phcQzm6i8DjrCp/X2aTB5ghfUNWmbsGvtz46eJnwMLw/6Y3h2MnLrSoGY3Zq+vMx6BToil+oZF3RyLcUw6OHmiBwKxajBwCFgGzUATeL2a4/1FyaTj2b6Yp0lgeqRUSplRhMTGSCRQ6tbLfcE6Ik0lbDhqm2g07lSZtBvEef6qzSxjT/AJCdNGO8Jey5RwYWnhcD3LNo4pvFa+FrJWxfFF9Cx+wqeQuMNgSXaQOJKwcJsioXw1wIJsRB9y6bbNacJX/8T/cvMaTy0y0kHiDB9FpBbI5c+RYZJNWexfRn0mp0a1SliIyjM3MQ2xaY4cll/Sbt2hUqONClTDYs8SCeJhpy+i86o4kiTN/nepPxOYQVuoo815ZbbJnSY7Z3bdDZykiCCREkedln12ZAYEEiDaxGlxx5rfwv0l1KIPV4LDGTJNTO8ybnQi0rn9o9KXYhxc/DYYHgxtZo8hWRrRqvI/BVNRzgGtEkcOVlGnh3ucJaQBrPwUqW1S0y2jRae6of99Qq5svHVa+Io0JYwVatOnmFKmcvWPa2YLbxPFQ0axzw7nZo7PygEOqmmMw9mLgggzAnx0EqTqzYaRWcTLc0ueLAQ77ttBHisnbeIq0MRXo52uFKq+mHdVSGYMcW5oDd8Kl/xOt+M+ADfcAs/jZu/Oh6izo/rFEEdqo4SNDUBgHgXaaiOBG+VjbWIFJhie2+J7mKkdoVv+rU/rd+qhiK73thzyY0zGe9OMKZll8pTg4pFZtcncEVj5CCykRvCM3SFsziQfDvgqy26p0tfBX8MRnGnH071Ja6NTBdH61Sk6qwNyMMO4zE6AaKptDZ7mMlxB7lf2Tt7qXuY6nSexzIcXUm1HNlpu3OdQXAwCJyi6sdIq2EOHpsw7mueHdohha4jK6SSeJItJ3II5s5anTkclSxAutamwgeqo7RZ2p4hKL5NpwqNlJJFyiNf8ocLYwPpf6I29nHn/vqvub+q0ujIivj3nT644HwoUAD4XH8xVD6ITNDFk78ZV9zFf6MXqY4H2TjavmKdKBPcCfBZejSf8matQECPvC5/g4eVu8SvD/pkLTjT/46Md01pjxXuD3mM33icp5N4/8At/MvDfpfb/zrgDo2g0AcIqEeUkWUmZxlTCNie3Gkw0i4ncVXwuGyVG3MncWkRe998EKzla0eybcWT36FVsIwCoCCTM2LS2L6X1/ZNvg1xL61/ZqwmTqttLFupsp5SBLqkmGmYFKB2geJ81zxjs6Pez5Vihs0HTIOzsU4tzOqUDNsrjSpuF4n2CrGLqOgln1d2USftQ6Rf2Q3LexWnws5f38GumQIVPaPsn53ouBxZqBxLWjKW+zmvmD9czj+EIe0R2T870tdZUzSWRZMLkvyUtnn2+bY8JQ67AAp4H73cPJNiwur0eF7H2aTnbc6jeuwwtSwXHbPHbHeF1FB9ly5ez2fA5i7L21a3/LVR+R3uXn4XZbTf9jU/gK40BXh6Mf1L+cf6JBOmDTwT5St7PMokESlT1PL4hAzQm6wjejsXRZLVf6OuIxmFMGPrFGDukVGe6R5rGLzxK1ejbP+YoOkf6tMxNxlqM1G7/Kih3YXpM6cXiXca1X/AHlZzmp9tvnEVzxq1P8AcVUBToLDp1WKZFBZaThwVQBTawlFDRbY8KTXwZQW0DuTOY4HikUWhWvKvYeMpJIHf4LIaT+FSzgag+OiTiXGVGniMY22USfRCxHap5oi8DyJS2fjWTFSmyOLRBtxk3C3mYGnXpHI6ADIAAte0jhc+Si6dUbVtFuzknC6TmrVq7GqNnsl38N9OWqquw1zf3LZSTOd45LtH0R9D5nC13Hfi6p/tYqeBxF8azNc4ys7XQAtHvEdytfQ2JwD+eIqH0Z+iyqdfCtZiXPf9u7F4ktAMOc1ry0nLvEAjvHIqIuickW7O0w9cOY14vnaG34xqfGZ7gvEvpYafrzt+UUWzvJDZnvMyea9G2Rtuk6o6kxxNszBlIg24iBq2P5l5X9JZI2jWeTJ+yBG7OKbCd/H0KSdsmqMOq+1i4fy1NTf8W74oTHS8XdGtw8d3tk89ECtjzGg9dfNRwGKL3gHcZ38+J+YSa4NsLW6X5NVWGveGMa1zm5qjxZxFyKQEx3oACM5oLGjMAQ5xvm+8GRoD+ErmPokuS5QwtYmzy4fme9szN9eR3805wFZ2mQREy7NMgHeDxHzCpMptuXlrid81B/6XQ6mHYTZzQOHaP8A6otjcE/X/CWIYW52uyyHNmABudvAErM2l7J8FoOYA0gGSSDoRAAPHvVOuybRIVRfNsxzQ+lpGXgvvd3opYoWCvMwwGjQPEpzhwdWjzK6PlR5X7KV9mfs8dod4+fNdFSdZZ7MOAbNaPNXGlYzlbPQ8XE8api2jU+yf/CVi7NqUesZ1/WdVPb6rJ1kflz9mZjVbtDAvxD+pbYvBgkWgRmceQVmr0b6ioGVcXhg4BpDHlrRaYLqb2ljtT7QV4+EcXmyU5qmbez9gbEq0H4gYjHBjHNa5rhQD8zgTAGWDAG47wtbA9CNkVsXVoMrYgtpUXOe4uYO0ypldByQQO5Z9elUqYZ1GlSw4pvcHOdhsoBcBE5WuIvyG7cq2ExNehjK2JaP9RldrqZHay1peOERUDLkaApKa9mDxOuDgNuU6TKzxQLjSmaeeM+Q6Z8tsyqUjOvBE2g1wfDgQQAL8lXpvhbxfBzTVSJt1WpsE/bU/wCNn+9qyA5aexY6xrs3aztGWD7Mg5p01tHyBkoDtUfbVD+d3q4qt1a1ekWGLMTWZF2vg+IB+KoEHgUrLUQcJyOSIJ4FOe70SsepFjRwRQ5o1+fRDk8D5IVSeCOxrgtkggxyVd0qeF0d4fFTeRoBw377Se6ZSRXfIESlURiyJ7yJ1Bjgd+7zTVaDsuaIG7nabeYVIl9A2CRyGiuYXGupBuQkEiTGhhxgQddPVBwbJYTzHuKlihApc2T/AHv/AERd8DSrk2cB0lqNcCWh39puI1vx4LSx+1mPqF5ZBMSMoNwANd65GiO1YEieG7mt9204MRpbVZyik7R1Y5tx+pntn0OCNmtP4q1Q/wB0fBUdkbOZVpOrPouefrWMHtZYa7EOMEZhMQSZ5qz9EJ/+MpX/APuqn+8hW+h5jDVHEWdicWI4u+sVBJ77D+UcUHLPhy/syGUMPRqve2iGOZmcyA01DAMtkG9pBvo5eT9P8f1mOrHcTTcNZ/0qYi+kRC7rpFVacQxhcD1b3dbq5wEBxgAGHFpm+hheY9I3/wDMVI0kR3ZGx4x6yuiONKOxy7tzoBSwT6jSabHOA1iLG8T5HyUsHs+pTLXPYWtcYBMXIB0g8kDDbRqU2uax0B0FwhpktmNQeJR8Jj6lR4D3lwBkWFiQeAUT/ib4E/lj/aNMJ0gkuE+pQ6cBRc8DVKj1j83Ute5zGmoS0SWtYQS+OVk0rFOaimzXrdFMWNKTZtq8bxO66yjsDGyCaYy2MtlzSO8XjuXadJMZVNCm9pim9rc4Goc4AgFw3Xjd6hXei1OpSo5akNbqxpNwDrM6DfGuq2pI8aebJOG7l/o4TEbOexplna1hofBHAZjIKp4XDvdOam5ne6R6MXou2MQ0vLZINmyNw1JHr6aqWycM1zu0C7KDIfcSYIgSRHtDwU3+DNOVWpM83ptl2VrKs8cgLf6i4GPBDrVw3Uj+4/7A5et1Nk0Ha0Wf0geoUaWw8OL9UPEkjyJIT+n7CWfMv8jO6I4IdWKxaQXNAbJPsCLgfdmAfBcP9JgH14CAPs6ZJi5Pa142AHgF60RZebfSD0dxVXFmrSouezq2NlsG4mbTO/gnFqzGd0c1iNp0XHMMM1j/AMVN5pkHlAgeSngumFdnZqHr6V+xVJLgPy1R2mu5+iz62x8Qz26FVv8AFTePUhU3tA1AHotKiTvM6TauHbiWddh3F1Ng7dOAKtGfvPaPbZ+dthvFiVzVbDubeJbMZhds6xO48jdaPRvC16uIY3CEtrXIcHQABclx/DuIvMxvXd7e6EVXU+tow2qWjr6LJFOo4b6YNpmTlNr2g6pzUHQ9XkVnmDDwWjswxUAIEhzf91+5V62GAcQQWkGCDq082m4Nlc2XgHSHt7TZAJnSCDobq3JEKLsLtrFdZi67/wATz7gPgq4KDjmHrHn8xKBJUvkpcF8FTlZwcVdw7/sqhiScsEkyIMmO/RS1RrD6gwQ8YPsz4e8Kq2u7iVJ1abEmO4IoOCGEIh08o9UcgbihBrePopNpt/EPI/oqsnXgQCes3si6cUB+Iev6KXUfm9/6I2QaMjgHdkjmD7wtSvSb1dEwJyuHqT7yqFHDBujh6/orwuA0uENFrH9EnIuMfuEwr2hsExaPRRGEm8m/JIUmx2ZceOgB8dUjSdw9VKs6NlVM9e+iXothqmCoYp9IOrCo8tcSbFlQhpAmARAWr0QwJqYGo3O5s1cXlI+6816okRBJFjrq48FwfR3pdXwmGZh6dagxjcxBcabn9pxcbML950hZ9DpXXps6puKcGBznAMDvae5z3GcjDq5x13qrSORwlNuk+Ts9odB6znNqF9IkGagOdgdFu07tHhfgF5F0ywhp4yswgDK8CGuzAfZsNnGCRfeFvO6RVMxLqj6s69a0VAf5aj3D0WTtN7Kxceqa1zn5y5oaPuhuUANADbTA3krR+Q2qZEPBndqLOXcI1VnZTu3881ofU2j5j3KuGwZAj3+ahzUlRtHx54pKUjQfXA1KA/F8FWDCnDCs1BHbPy/yTdUlamwdjPxPWZKppZQBIBM5pkWItAWT1a1dgbS+rucYLmuAkDW2hHmfNUkc2XyLjSZ6bTMNDRcCALjdprHBENSOPDQ+9cxhuktF33y3+IEeuiq9L9vD6uW0qgJfY5XCQ2L902HiqaOBG9i+lWDpHK+u2RYhoc/zyAhW9k7dwtYxQq03ON8o7L7flcAV5XsTYIrZHVnlrXuiREsbBh7p0aSICHtvYBw+VwcczW0zUF81CpUGZrC8ABxjKbXGYJaorZo9rzKRqQLrj+h23TisPFUzUZ2Hn8TSDBPfceCvHYNE+yarP4K9Zo8s0eihr7lKR0FOuCfIrCw9PH0a5qVcQyrhpcSwNHWXs0Nhm4kH2tBCCNhlplmKxIOl3Nfv/O0lQxGzcU4ZfrmYTMVKLD6sLShJA5GodovBk1HhpcYBZlIBLSBLhuuBbeeAKWKrvJDZoPcRo9uktGV2mk6jmb6BcxVGNY8Uw+k42h0PaCSeAc6LkA2GoUq22MTmDnU2EO7QDapg3DRAe0AXHeVWiK+Z9HVYHo/J65lKnMQTTcwOyl1wC12kAW4rXw+HLWj22k6gmfeF57T2+8Mc36vUaSJ1pGBIfJBfIEALRwm1yXBvVVmkuIvSqFsuygSWgtaARvNuKmeOwjOujq8XsuhWA62lTqEb3NaT5kKs3YNNv+n2OQAAjhG8ckfDYwtpNDney0TJsLX7hqsfFdO8FTJBqkka5Wk++J8FhLG30dEM1ANo9E80y1rh3D3LlNpdD8vsgtPAz713+yelmExBy06zc34XSwnuzWPgVsvLCCHAeP76rF7wOhThNco8FxGzC0lpEHgj0ar20nUp7DgRFt+/SdV6H0y6Pk0X12tAawtyxcvBs6OQ+C8/DF0Rm2uTPVRb1M36ml9U5rSLFE0yFe7I+NGe3DlJ1EjcroBTuqFGzHoig2mphqv4KnneGkRmIEjdJ1hH2ngBRqOpzmymMwNncwUbgoGaGwj0qZ+SmFMcT5IzB+b0KNg0LFFp4H0+CutZ/F5fuqbHt3n0IVjrWfj9SjYehkh/AHyj3pzm/CPEhX34NhuCWjgBPvsPBONnM3ucRzKv6CX5WZ+6KEHe5o8P3UCW/jd4D9Atens+kL5QfGVYZRpzZo/TdqjePpGe+R9yZz7S4mwJHOBZWRhBEmRb1O6VtODfVRe6eQ5D3hTsJ2+zGOCP+UN+GPALZdGm/uIQy3/KezJ+NGMaThoD5KJpngVtdWOEpnUJFh8PVG5PxmG5h5oGJYSCAug+qjcB8UN+FH4R7k9xfEyOAxWelSdSLespsyPpkNa+WnsuDrF7SDcXgg8k/SrahNEUnOJeY7IqucwNnNmdSNmVJgWOm4b6tbZFN1yCDvg/MpqWyaYOhJ5lPdB8bK2wtpvw2YtE5wLEwAQZBsujodNSPapnwv7yFkHZ7eBUXbNGtx880OcWL4pHSUumrDqCO+fhKMzppSJuSPA/ELkTs4HQnyTHZ3B3optBpI7gdJcO/wBp1Mj82VWqW0cOYgUzGkAWgzaOZJ8V54dnHl8+CC7ZzuEo4+4tZL0emhmHcc2UTa4cRoABv1AA8lbwzWMBDZEkm7pu7W88brydlCqPZDh3SFNmKrMNqjwRxcTp3p1fsOfsdV0+2s5obSaYEZn+Nmj0J8lznR7o6/E9txe2kX9WXtbmh5aSC6/ZaSA3NxN1Qx1Z9SXPc5x4nluWx0XxQNLKwN61uYTLxUNNxmGNByOuYOYWBlVVII8sq7U2E6kwVGZiWsY+oDBa0vnsh4s8iLr0T6PNuvrYaHuJNMwLycpFpngQR4BcPtPEltJ5qtaHvBaxpLw9uYdpxYDlAAgSQZ5Qi9DNsDDsc0gy4giNIAO/vJ9FnNbR5NU9ZcHpu264bRqPIFgTfeYIE8dV5Y1pWxtfpDUrMLPZaYm5mxBiR3LIDj4cdFgo0dt2MQpFqkDukJyN3z6J2OgTWhCrYUHiO5WgwcvnuUsvNFjoqYbBwQS94jgBPgTzRqj8wOYlx3mIk8Ud7bd6rmmOfki7FVdFUU+8qbIH3T4EqwGjefRTFLgfeqsVAm1B+B3n+yn9ap/9L1R2sjT3q2xttHf1fuixUZza3G/BWqT+UcbTwOqotxTZF/j8hF6/eB871ZyFwv5W3d3gnLibglVwTw/wiNdwJ+CBk3Axb4RCQneNyi9w3lSL/wDPz5oAmWfO9M6gTaY+ffcqHWknT/CcAkjSOM/CLJBZN1Jo3zxsouid6G2ledO4m5468+CKKfDXv8eCAGjy4mIQusB0vKK9gmIHHuKhYcN9/L0QMHmMxBmf8X/dP1ZhTDrxefn4JA6D5lIYIMO+NNdPVIsN7etkcnT90z+EW529UhgCw6psu/5jwR2tNimPAfOqABQY0TQJPfw9yMHDSf3/AGTPpCYA9f2QMGPH53qFSkDGh7/myM9vHzH+EzGTp4fsgZXGz2cPK3zqqlfYtMme008v8LXNO3f3aIb5EXnd+uiFJi0RlUdj02kklzuEn9NVZp4VguB88lbDU1VnKOW6UOTZSilyAyp2iBomNP8AY7/HmpvpnuSZaZEd/wAFJrL/AL/BSZcQeHz36KVOgJSKTFpeQph8DdKTxwm2/wDQKBcpLRCo7mosbO9SLpUc43hNCZINHFEbO4oFjxRWnmgAsGdx85RBSd+b+pqgwjj5o7ag3FviT+qYmc0LnTmrTZ3xBvE8Ekl0nDYZlQnfbTUhWGVJ5E6azB5pJKADU8w5nu//ACm60mbfI+dU6SAHa0m+nlxT6cT4foEySQxut5HXuRLxJi+u4A8Y8kkkwRC95AjS3DylBNU6eOviI70kkh2AINwdD4b5tG9FZQNjpM8817WmY+d6ZJJgmKi52bKZ4Rpe2s96vNaDGa58vQfNkkkmOxnU4Nib8t/JJ1M8/nxSSSGhxRA115jwso9oWPwvfUCO9JJAyT2Hdfd46BQaJuBPf6ykkkMmWb7908dyT6UCPXS/w1SSSKfQHqef66TuSLTvMj9reiSSoF0RngOXDy8kzgSTcDlvGnzZJJIoJni4v+luPgih7ck3k8Rp3JJJMpFYvKgTKSSSHYxBUG8x5pJIGglPkiNdGtkkkwYWnl1iVbZlgWHmkkpbE2f/2Q==","[]","Compre seu Gás e receba na porta da sua casa","Rua Ceará","","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","6802f97b2e0cd907afdebf11","2025-04-19T01:16:43.992000","2025-04-22T00:40:30.557000","anonymous","false"
"undefined","undefined","undefined","undefined","67db2cffee2528e16d1600ae","","undefined","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/341c45_2023-10-18.jpg","[]","","Rod. Duque de Caxias, 2819 -  São Francisco do Sul","","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","6806e66e3e2dc30c38e3ca01","2025-04-22T00:44:30.534000","2025-04-22T00:44:30.534000","contato.jrsn@gmail.com","false"
"undefined","undefined","undefined","undefined","67db2cffee2528e16d1600ae","","undefined","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/7a3a1d_2024-04-08.jpg","[]","Loja de materiais de construção·","R. Felipe Musse, 251 São Francisco do Sul ","","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","6806e8245df35ea49201bea6","2025-04-22T00:51:48.518000","2025-04-22T00:51:48.518000","contato.jrsn@gmail.com","false"
"undefined","undefined","undefined","undefined","67db2cffee2528e16d1600ae","","undefined","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/12e92a_2024-10-28.jpg","[]","","R. Nova Trento, 303 -  São Francisco do Sul","","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","6806e92f5df35ea49201c3b8","2025-04-22T00:56:15.284000","2025-04-22T01:05:29.935000","contato.jrsn@gmail.com","false"
"undefined","undefined","undefined","undefined","67db2cffee2528e16d1600ae","","undefined","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/fba4f2_2022-01-20.jpg","[]","","R. Rio dos Cedros, 625 - São Francisco do Sul ","","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","6806e9f45df35ea49201c7d9","2025-04-22T00:59:32.869000","2025-04-22T00:59:32.869000","contato.jrsn@gmail.com","false"
"undefined","undefined","undefined","undefined","67db2cffee2528e16d1600ae","","undefined","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/8dc225_2023-05-30.jpg","[]","","R. Braço do Norte, 382 - São Francisco do Sul ","","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","6806ea733e2dc30c38e3dddb","2025-04-22T01:01:39.932000","2025-04-22T01:01:39.932000","contato.jrsn@gmail.com","false"
