name,state,description,image_url,population,gastronomy,accommodation_types,season_start,culinary_origin,ad_banner_url,city_hall_phone,latitude,longitude,beaches_count,map_iframe_url,id,created_date,updated_date,created_by,is_sample
"Florianópolis","Santa Catarina","Florianópolis, a capital do estado de Santa Catarina no sul do Brasil, é maioritariamente constituída pela Ilha de Santa Catarina, com 54 km de comprimento. É famosa pelas suas praias, incluindo estâncias turísticas populares como a Praia dos Ingleses na extremidade norte da ilha. A sua Lagoa da Conceição, uma lagoa de água salgada, é popular para a prática de windsurf e para excursões de barco. A Ponte Pedro Ivo Campos faz a ligação entre a ilha e a zona comercial continental.","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/9f5528_como-e-morar-em-florianopolis-sc-saiba-mais-sobre-a-capital-catarinense.jpg","82383","Ostras, Pirão de peixe, Tainha frita, Pastel de berbigão, Caldo de cana, Bolinhos e casquinha de siri","Hoteis e pousadas","","Inspirada na cultura portuguesa e indígena","null","0800 000 0844","-27.541986425682264","-48464850295756776","42","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d452702.6417405098!2d-48.79994595122912!3d-27.570597511861685!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9527394eb2c632d7%3A0x81bc550b6a04c746!2sFlorian%C3%B3polis%2C%20SC!5e0!3m2!1spt-BR!2sbr!4v1745888650606!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","67cdc32459c2f17692605cc1","2025-03-09T16:34:44.031000","2025-04-29T01:04:41.002000","contato.jrsn@gmail.com","false"
"Balneário Camboriú","Santa Catarina","O turismo é a principal fonte de renda da cidade. O município conta com uma população fixa de 128 mil habitantes, mas na alta temporada cerca de 4 milhões de turistas se revezam entre os meses de dezembro, janeiro e fevereiro. ","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/66029c_camboriu.png","139155","Camarão à Milanesa, Caldeirada de frutos do mar, Marisco ,Lambe-Lambe ,Sequência de Camarão, Arroz de Marisco, Churrasco, Pirão de peixe, Tainha frita, Pastel de berbigão","Hoteis, casa, host e pousadas","Dezembro","Açoriana, Italiana, Alemã, Indígena, Portuguesa, Gaúcha","","47991315105","null","null","10","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d113751.05762690402!2d-48.70840231628432!3d-27.007388325957024!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94d8b668abfea471%3A0x4fca490504a87e6e!2sBalne%C3%A1rio%20Cambori%C3%BA%20-%20SC!5e0!3m2!1spt-BR!2sbr!4v1745890644213!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","67cdc32459c2f17692605cc2","2025-03-09T16:34:44.031000","2025-04-29T01:37:40.866000","contato.jrsn@gmail.com","false"
"Bombinhas","Santa Catarina","Conhecida como a Capital do Mergulho Ecológico, Bombinhas possui algumas das mais belas praias do Brasil. Com águas cristalinas e preservação ambiental, é ideal para quem busca contato com a natureza.","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/b99215_praias-de-bombinhas-santa-catarina-14.jpg","25058","A culinária de Bombinhas é voltada para os frutos do mar, com pratos simples e saborosos. Restaurantes à beira-mar servem peixes frescos e mariscos, e há também influência da colonização açoriana na gastronomia local.","Pousadas, casas e apartamentos para temporada","Novembro","influenciada por colonizadores portugueses e açorianos","null","(47) 3393-9500","null","null","39","","67cf30412efcee033024d3d0","2025-03-10T18:32:33.150000","2025-03-19T20:34:03.476000","contato.jrsn@gmail.com","false"
"São Francisco do sul","Santa Catarina","São Francisco do Sul, conforme sua história assinala, é a primeira povoação de Santa Catarina, e sua fundação ocorreu em 1847, onde o “pelourinho” do povoado foi erguido em 1649. Sua igreja Matriz, Nossa Senhora da Graça, data de 1650, e em 1658, a ainda pequena comunidade foi elevada à categoria de vila.","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/884200_VILLAAAAAA.webp","52674","sopa agnolini, lasanha, batata com pão, bijajica, maionese e salame, tortéi, polenta, radici, pão caseiro, salame, queijo colonial, frango a passarinho, galinha caipira ao molho, codornas, sagu, etc","Hoteis, casa, host e pousadas","","Influência da colonização portuguesa e açoriana","null","4734712222","null","null","14","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d114521.78759115085!2d-48.66729295342715!3d-26.235496867236662!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94d949169ad6c773%3A0x443379049d26f159!2sS%C3%A3o%20Francisco%20do%20Sul%2C%20SC%2C%2089240-000!5e0!3m2!1spt-BR!2sbr!4v1745890694156!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","67db2cffee2528e16d1600ae","2025-03-19T20:45:51.694000","2025-04-29T01:38:33.668000","contato.jrsn@gmail.com","false"
"Itapoa","Santa Catarina","Itapoá é um município do estado de Santa Catarina, localizado no extremo norte do litoral catarinense. Tem a maior extensão de litoral do estado, com 32 quilômetros de praias, Faz divisa com o município de Guaratuba, no estado do Paraná, através do Rio Sai Guaçu . O mar aberto de quase toda a praia desde Itapoá até Barra do Saí tem o mar agitado e perigoso","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/c55f8f_2442827-scaled.jpg","30750","Pratos como sopa de peixe, bacalhau, risotos, lanches e sorvetes","Hoteis, casa, host e pousadas","","Influenciada pela culinária catarinense","null","4734438800","null","null","7","","67db30d52c66cf2953134a18","2025-03-19T21:02:13.579000","2025-03-19T21:02:13.579000","contato.jrsn@gmail.com","false"
"Barra do Sul","Santa Catarina","O turismo é motivado por praias limpas e pela ""lagoa"", a parte sul do Canal do Linguado, bastante convidativo a pescarias, esportes aquáticos e navegação para pequenas embarcações. O pico de movimento turístico ocorre nas quatro semanas em torno do Ano-novo. Curiosamente, a festa típica da cidade, a Festa da Tainha, ocorre em pleno inverno","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/60a106_750_375_crop_barra_5afd9e6faca80.jpg","8423","Variada, com opções de lanches, pizzas, pescados e outros pratos.","Hoteis, casa, host e pousadas","","Influenciada pela culinária catarinense","null","(47) 34481043","null","null","3","<iframe src=""https://www.google.com/maps/embed?pb=!1m12!1m8!1m3!1d28574.794849063022!2d-48.6056614!3d-26.4605844!3m2!1i1024!2i768!4f13.1!2m1!1sgastronomia%20de%20barra%20do%20sul%20SC!5e0!3m2!1spt-BR!2sbr!4v1742486639784!5m2!1spt-BR!2sbr"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","67dc3c9155085feaa3d0e4d8","2025-03-20T16:04:33.696000","2025-03-20T16:04:33.696000","contato.jrsn@gmail.com","false"
"Barra velha","Santa Catarina","Possui um clima muito agradável, principalmente no verão, com belas praias. É um município que se destaca, entre os demais do estado de Santa Catarina, pelas belas praias que possui, e por uma lagoa com aproximadamente 10 kms de extensão, própria para a prática de esportes náuticos.  A atividade pesqueira é um setor que chama a atenção dos turistas, podendo-se comprar pescados diretamente dos barcos de pesca; a prática da pesca esportiva também atrai visitantes de várias regiões do país.","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/402ea2_Barra-Velha-Santa-Catarina.jpg","45300","Pirão, Tainha, Feijoada, Peixe assado, Peixe grelhado, Frutos do mar,","Hoteis, casa, host e pousadas","","baseada em frutos do mar, principalmente na tainha, e no pirão. A culinária local foi influenciada pelos colonizadores açorianos","null","(47) 3446-7700","null","null","7","","67dc3da3e0e03c926b15e6e1","2025-03-20T16:09:07.352000","2025-03-20T16:09:07.352000","contato.jrsn@gmail.com","false"
"Piçarras","Santa Catarina","A Praia Central é uma das principais praias do município. A prefeitura de Balneário Piçarras fez diversos projetos de alagamento de praias, incluindo na Praia Central, para atrair turistas.","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/957c6a_picarras-00.webp","27127","Marcada por frutos do mar, mas também inclui outros tipos de culinária, como brasileira, portuguesa, alemã, mexicana e japonesa","Hoteis, casa, host e pousadas","","brasileira, portuguesa, alemã, mexicana e japonesa","null","(47) 3347-4747","null","null","4","","67dc3ed3086f6f4a15468587","2025-03-20T16:14:11.299000","2025-03-20T16:15:08.807000","contato.jrsn@gmail.com","false"
"Penha","Santa Catarina","","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/e5adb9_3309883.jpg","33663","Variada e inclui frutos do mar, pizzas, lanches e outros pratos típicos da região","Hoteis, casa, host e pousadas","","Influência da colonização portuguesa e alemã","null","(47) 3240-0291","null","null","19","","67dc4062d29b10467d1c536e","2025-03-20T16:20:50.349000","2025-03-20T16:20:50.349000","contato.jrsn@gmail.com","false"
"Navegantes","Santa Catarina","Com uma orla marítima de aproximadamente 12 quilômetros, divididas em Praia Central, Meia Praia e Gravatá, Navegantes se destaca com suas praias de águas limpas, próprias para o banho, prática de esportes aquáticos e pesca. O surf é uma das modalidades esportivas mais praticadas no município, e surfistas da cidade e de regiões vizinhas encontram nas praias de Navegantes as condições ideais para a prática do esporte durante o ano todo.","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/bf65fb_default.webp","93619","Rica em frutos do mar, massas e polenta","Hoteis, casa, host e pousadas","","influenciada por colonizadores portugueses e açorianos","null","(47) 3342-9500","null","null","4","","67dc413b28ae4b97b98fb591","2025-03-20T16:24:27.331000","2025-03-20T16:30:04.903000","contato.jrsn@gmail.com","false"
